Entropy,Energy,Correlation,Contrast,Homogeneity
3.17136479065898,0.897321428571429,0.566755786218474,0.0357142857142857,0.982142857142857
2.46817732127883,0.535076530612245,0.878838849606249,0.0535714285714286,0.973214285714286
2.99809173872396,0.931122448979592,0,0.0357142857142857,0.982142857142857
2.64012341072007,1,0,0,1
2.63244739580373,1,0,0,1
2.01073841776077,1,0,0,1
2.37776337559181,1,0,0,1
1.76613192574405,1,0,0,1
1,1,0,0,1
1.5487949406954,1,0,0,1
1,1,0,0,1
-0,1,0,0,1
1,1,0,0,1
1.5,1,0,0,1
-0,1,0,0,1
1.56127812445913,1,0,0,1
-0,1,0,0,1
-0,1,0,0,1
0.954434002924965,1,0,0,1
2,1,0,0,1
1.5,1,0,0,1
-0,1,0,0,1
-0,1,0,0,1
1.5487949406954,1,0,0,1
2.09027371145563,1,0,0,1
1.72531758718556,1,0,0,1
2.4253783420247,1,0,0,1
2.58398090264288,1,0,0,1
2.51282313152506,1,0,0,1
2.5474222207985,1,0,0,1
2.34394887749674,0.801020408163265,0.461538461538461,0.0714285714285714,0.964285714285714
1.5,0.551020408163265,-0.166666666666667,0.285714285714286,0.857142857142857
2.99859277880922,1,0,0,1
1.72531758718556,1,0,0,1
2.96498569274044,1,0,0,1
2.98840376027544,0.721301020408163,0.863731292724622,0.0357142857142857,0.982142857142857
3.45362676701987,0.495535714285714,0.963998407308295,0.0178571428571429,0.991071428571428
3.25439842612878,1,0,0,1
2.6615311099986,1,0,0,1
2.65263139495229,1,0,0,1
2.36238662519037,1,0,0,1
2.55133128014165,1,0,0,1
-0,1,0,0,1
-0,1,0,0,1
-0,1,0,0,1
1.79987590431074,1,0,0,1
2.47534131373464,1,0,0,1
1.90563906222957,1,0,0,1
2.40563906222957,1,0,0,1
2,1,0,0,1
2,1,0,0,1
1.83208608539041,1,0,0,1
0.954434002924965,1,0,0,1
-0,1,0,0,1
-0,1,0,0,1
2.46817732127883,1,0,0,1
1.5,1,0,0,1
1.2987949406954,1,0,0,1
2.83939865688367,1,0,0,1
2.5,1,0,0,1
-0,1,0,0,1
2.61884391001279,1,0,0,1
1.5,0.306122448979592,0.416666666666667,0.285714285714286,0.857142857142857
1.5,0.551020408163265,0.645497224367903,0.142857142857143,0.928571428571429
2.70327722290704,1,0,0,1
2.65802933224777,1,0,0,1
2.52067240096678,1,0,0,1
1.5487949406954,1,0,0,1
2.25,1,0,0,1
2.79965775350752,0.666454081632653,0.764470787156438,0.0714285714285714,0.964285714285714
2.03071976112687,1,0,0,1
2.25,1,0,0,1
1.2987949406954,1,0,0,1
1.75,1,0,0,1
1.40563906222957,1,0,0,1
-0,1,0,0,1
2.21197454754625,1,0,0,1
2,1,0,0,1
1,1,0,0,1
1.90563906222957,1,0,0,1
1.81127812445913,1,0,0,1
1.40563906222957,1,0,0,1
1.40563906222957,1,0,0,1
1.40563906222957,1,0,0,1
-0,1,0,0,1
1.5487949406954,1,0,0,1
1.2987949406954,1,0,0,1
-0,1,0,0,1
2.52822011161632,1,0,0,1
2.4737492407708,1,0,0,1
2.51300002258834,1,0,0,1
1.56127812445913,1,0,0,1
-0,1,0,0,1
1.75,1,0,0,1
1.81127812445913,0.387755102040816,0.75,0.142857142857143,0.928571428571429
1.40563906222957,1,0,0,1
2.14567240096678,1,0,0,1
2.49151692691851,1,0,0,1
2.41092275159026,1,0,0,1
2.3988056621019,1,0,0,1
2.46921562189372,1,0,0,1
2.5474222207985,0.439413265306123,0.72451395196778,0.142857142857143,0.928571428571429
2.54692744835027,1,0,0,1
2.67845149116006,1,0,0,1
2.2699494082885,1,0,0,1
1.5487949406954,1,0,0,1
1,1,0,0,1
1.5487949406954,1,0,0,1
2.76503676333216,1,0,0,1
2.72460175271458,1,0,0,1
2.25,1,0,0,1
2.5,1,0,0,1
3.08820767408374,1,0,0,1
2.5,1,0,0,1
2.41319873637548,1,0,0,1
2.48001487834818,1,0,0,1
-0,1,0,0,1
2.0673415976027,1,0,0,1
1.74338931803344,1,0,0,1
2.22534389309673,1,0,0,1
2.59452233556505,1,0,0,1
1.81127812445913,1,0,0,1
2.5730870204657,1,0,0,1
1,1,0,0,1
-0,1,0,0,1
2.17176582924944,1,0,0,1
2.34394887749674,0.801020408163265,0.461538461538461,0.0714285714285714,0.964285714285714
1.79987590431074,0.833545918367347,0.759841095602257,0.0357142857142857,0.982142857142857
0.954434002924965,1,0,0,1
2.4737492407708,1,0,0,1
2.5508608858589,1,0,0,1
1,1,0,0,1
1.81127812445913,1,0,0,1
